최근 구매 제품,차량 사이즈,차량 유형,연료 구분,차량 연비,최대 출력,배기량,모델 사진,최근 거래 금액
Avante (CN7 N),준중형,세단,휘발유,10.5km/L,280PS,"1,998cc",https://www.hyundai.com/contents/vr360/CN17/exterior/PM2/001.png,40410000
G80 (RG3),대형,세단,휘발유,9.8km/L,304PS,"2,497cc",https://macarong.net/resources/images/car/img_report_car_top_%EC%A0%9C%EB%84%A4%EC%8B%9C%EC%8A%A4_%EB%8D%94%20%EC%98%AC%20%EB%89%B4%20G80(RG3).png,89730000
NEXO (FE),중형,SUV,수소,96.2 km/kg,154PS,0cc,https://www.hyundai.com/contents/vr360/FE04/exterior/TW3/001.png,70920000
Santa-Fe ™,중형,SUV,디젤,12.3km/L,281PS,"2,497cc",https://s7d1.scene7.com/is/image/hyundai/2025-santa-fe-sel-fwd-hampton-gray-vehicle-browse-hero:Browse?fmt=webp-alpha,36110000
G70 (IK),중형,세단,휘발유,10.4km/L,304PS,"2,497cc",https://www.genesis.com/content/dam/genesis-p2/kr/assets/models/g70/renewal/exterior/color/genesis-kr-g70-sport-color-glossy-makalu-gray-small.png,45460000
IONIQ (AE EV),준중형,해치백,전기,5.7 km/kWh,170PS,0cc,https://autoimg.danawa.com/photo/3720/model_360.png,67300000
IONIQ 6 (CE),중형,세단,전기,6.2 km/kWh,151PS,0cc,https://autoimg.danawa.com/photo/4087/model_360.png,37290000
G90 (HI),대형,세단,휘발유,8.9km/L,380PS,"3,470cc",https://inv.assets.sincrod.com/ChromeColorMatch/us/WHITE_cc_2025GSC021924261_01_1280_PH3.jpg,136370000
Santa-Fe (MX5 PHEV),중형,SUV,플러그인 하이브리드,15.3km/L,180PS,"2,497cc",https://www.hyundai.com/contents/vr360/MX05/exterior/YBM/001.png,54390000
Grandeur (GN7 HEV),준대형,세단,하이브리드,16.2km/L,198PS,"2,497cc",https://www.hyundai.com/contents/vr360/GN06/exterior/NY9/001.png,43570000
Tucson (NX4 PHEV),준중형,SUV,플러그인 하이브리드,16.0km/L,180PS,"1,598cc",https://ci.encarmagazine.com/2023/08/s01.jpg?resize=640:*,37920000
G90 (RS4),프리미엄,세단,휘발유,8.5km/L,380PS,"3,470cc",https://autoimg.danawa.com/photo/4016/model_360.png,182320000
Palisade (LX2),준대형,SUV,디젤,11.0km/L,281PS,"2,497cc",https://autoimg.danawa.com/photo/4190/model_360.png,44790000
i30 (PD),준중형,해치백,휘발유,13.0km/L,136PS,"1,598cc",https://file.carisyou.com/upload/2018/09/19/FILE_201809191120516660.png,22900000
